condition,template,seed,train_max,depth,correct@16,joint@16
symbol-padded logic,logic_symbol_padded,3408,25,1,1.0,1.0
symbol-padded logic,logic_symbol_padded,3408,25,2,1.0,1.0
symbol-padded logic,logic_symbol_padded,3408,25,5,1.0,1.0
symbol-padded logic,logic_symbol_padded,3408,25,10,1.0,1.0
symbol-padded logic,logic_symbol_padded,3408,25,12,1.0,1.0
symbol-padded logic,logic_symbol_padded,3408,25,15,1.0,1.0
symbol-padded logic,logic_symbol_padded,3408,25,18,1.0,1.0
symbol-padded logic,logic_symbol_padded,3408,25,20,1.0,1.0
symbol-padded logic,logic_symbol_padded,3408,25,25,1.0,1.0
symbol-padded logic,logic_symbol_padded,3408,25,30,0.46875,0.3125
symbol-padded logic,logic_symbol_padded,3408,25,35,0.5,0.09375
symbol-padded logic,logic_symbol_padded,3408,25,40,0.59375,0.1875
symbol-padded logic,logic_symbol_padded,3408,25,45,0.65625,0.375
symbol-padded logic,logic_symbol_padded,3408,25,50,0.5,0.25
symbol-padded logic,logic_symbol_padded,3409,25,1,1.0,1.0
symbol-padded logic,logic_symbol_padded,3409,25,2,1.0,1.0
symbol-padded logic,logic_symbol_padded,3409,25,5,1.0,1.0
symbol-padded logic,logic_symbol_padded,3409,25,10,1.0,1.0
symbol-padded logic,logic_symbol_padded,3409,25,12,1.0,1.0
symbol-padded logic,logic_symbol_padded,3409,25,15,1.0,1.0
symbol-padded logic,logic_symbol_padded,3409,25,18,1.0,1.0
symbol-padded logic,logic_symbol_padded,3409,25,20,1.0,1.0
symbol-padded logic,logic_symbol_padded,3409,25,25,1.0,1.0
symbol-padded logic,logic_symbol_padded,3409,25,30,0.8125,0.3125
symbol-padded logic,logic_symbol_padded,3409,25,35,0.9375,0.71875
symbol-padded logic,logic_symbol_padded,3409,25,40,0.84375,0.09375
symbol-padded logic,logic_symbol_padded,3409,25,45,0.71875,0.28125
symbol-padded logic,logic_symbol_padded,3409,25,50,0.5,0.0
wordified logic,logic_wordified,3407,25,1,1.0,1.0
wordified logic,logic_wordified,3407,25,2,1.0,1.0
wordified logic,logic_wordified,3407,25,5,1.0,1.0
wordified logic,logic_wordified,3407,25,10,1.0,1.0
wordified logic,logic_wordified,3407,25,12,1.0,1.0
wordified logic,logic_wordified,3407,25,15,1.0,1.0
wordified logic,logic_wordified,3407,25,18,1.0,1.0
wordified logic,logic_wordified,3407,25,20,1.0,1.0
wordified logic,logic_wordified,3407,25,25,1.0,1.0
wordified logic,logic_wordified,3407,25,30,0.96875,0.9375
wordified logic,logic_wordified,3407,25,35,0.46875,0.3125
wordified logic,logic_wordified,3407,25,40,0.46875,0.15625
wordified logic,logic_wordified,3407,25,45,0.5,0.28125
wordified logic,logic_wordified,3407,25,50,0.40625,0.15625
wordified logic,logic_wordified,3408,25,1,1.0,1.0
wordified logic,logic_wordified,3408,25,2,1.0,1.0
wordified logic,logic_wordified,3408,25,5,1.0,1.0
wordified logic,logic_wordified,3408,25,10,1.0,1.0
wordified logic,logic_wordified,3408,25,12,1.0,1.0
wordified logic,logic_wordified,3408,25,15,1.0,1.0
wordified logic,logic_wordified,3408,25,18,1.0,1.0
wordified logic,logic_wordified,3408,25,20,1.0,1.0
wordified logic,logic_wordified,3408,25,25,1.0,1.0
wordified logic,logic_wordified,3408,25,30,0.96875,0.9375
wordified logic,logic_wordified,3408,25,35,0.21875,0.0
wordified logic,logic_wordified,3408,25,40,0.28125,0.0
wordified logic,logic_wordified,3408,25,45,0.1875,0.0
wordified logic,logic_wordified,3408,25,50,0.21875,0.0
wordified logic,logic_wordified,3409,25,1,1.0,1.0
wordified logic,logic_wordified,3409,25,2,1.0,1.0
wordified logic,logic_wordified,3409,25,5,1.0,1.0
wordified logic,logic_wordified,3409,25,10,1.0,1.0
wordified logic,logic_wordified,3409,25,12,1.0,1.0
wordified logic,logic_wordified,3409,25,15,1.0,1.0
wordified logic,logic_wordified,3409,25,18,1.0,1.0
wordified logic,logic_wordified,3409,25,20,1.0,1.0
wordified logic,logic_wordified,3409,25,25,1.0,1.0
wordified logic,logic_wordified,3409,25,30,0.96875,0.96875
wordified logic,logic_wordified,3409,25,35,0.8125,0.71875
wordified logic,logic_wordified,3409,25,40,0.375,0.09375
wordified logic,logic_wordified,3409,25,45,0.375,0.15625
wordified logic,logic_wordified,3409,25,50,0.40625,0.125
